,gender,age,salary,other_income,parent_num,child_num,marriage,risk_type,categories_version,ans_type,risk_question_1,risk_question_2,risk_question_3,risk_question_5,risk_question_6,risk_question_7,risk_question_8,risk_question_9,risk_question_10,risk_question_4_1,risk_question_4_2,risk_question_4_3,risk_question_4_4,Art,Band,Chef,Mood,Show,Actor,Brand,Cause,Color,Event,Gamer,Legal,Music,Topic,Artist,Author,Course,Dancer,Editor,Sports,Writer,Athlete,Blogger,Cuisine,Finance,Profile,Science,Comedian,Designer,Diseases,Election,Fan Page,Language,Locality,Musician,Producer,Community,Education,Orchestra,Residence,Scientist,Surgeries,Journalist,Agriculture,Labor Union,Nationality,Real Estate,Social Club,Sports Club,TV & Movies,Visual Arts,Work Status,Armed Forces,Concert Tour,Entrepreneur,Just For Fun,Meeting Room,Talent Agent,Ticket Sales,Work Project,Fashion Model,Film Director,Fitness Model,Literary Arts,Local Service,Musician/Band,Public Toilet,Satire/Parody,Sports Season,Video Creator,Work Position,Not a Business,Campus Building,Digital Creator,Food & Beverage,Harmonized Page,Hotel & Lodging,Performance Art,Performing Arts,Sports Promoter,Theatrical Play,Exchange Program,Medical & Health,News Personality,Spiritual Leader,Books & Magazines,Community Service,Editorial/Opinion,Shopping & Retail,University (NCES),University Status,Media/News Company,Outdoor Recreation,Youth Organization,City Infrastructure,Sports & Recreation,Arts & Entertainment,Charity Organization,Motivational Speaker,Private Members Club,Advertising/Marketing,Sorority & Fraternity,Nonprofit Organization,Religious Organization,Theatrical Productions,Commercial & Industrial,Travel & Transportation,Country Club / Clubhouse,Media Restoration Service,Religious Place of Worship,"Automotive, Aircraft & Boat",Landmark & Historical Place,Public & Government Service,Automated Teller Machine (ATM),"Beauty, Cosmetic & Personal Care","Science, Technology & Engineering",Non-Governmental Organization (NGO),Environmental Conservation Organization
0,2,21,20000,60000,2,0,1,3,1,2,4,3,3,2,3,3,3,3,3,1,0,1,1,0,0,1,0,0,0,40,0,0,1,1,0,2,0,3,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,2,1,0,10,0,0,0,1,0,0,0,0,0,0,2,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,2,0,0
2,1,21,13000,6000,2,0,1,2,1,2,4,2,3,2,2,3,2,3,2,1,1,1,1,1,1,0,0,0,0,54,0,0,2,0,2,4,0,4,2,0,0,0,1,4,0,10,0,9,0,0,0,0,0,0,0,0,0,1,0,18,21,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,3,0,0,0,0,0,0,0,0,16,3,0,0,0,7,0,0,1,0,32,0,8,0,0,0,0,0,4,0,0,0,0,0,9,0,0,11,0,0,0,1,2,0,2,0,5,0,3,0,0,0,4,0,0,0,1,0,1,0,3,10,0,0
4,2,22,25000,360000,4,0,1,4,1,2,4,4,4,4,4,4,4,4,4,0,0,0,1,2,0,0,0,3,1,12,0,0,1,1,0,0,0,2,0,0,0,0,0,3,0,6,0,6,0,0,1,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
6,2,22,25000,0,2,0,1,3,1,3,4,4,1,2,3,3,3,3,4,1,1,0,1,0,1,0,0,0,2,45,0,0,0,0,0,1,0,8,0,0,0,0,1,2,0,4,0,3,0,0,2,0,0,0,0,0,0,0,0,13,21,0,1,1,0,0,1,0,0,4,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,6,0,0,0,1,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,12,0,0
8,2,21,25000,0,2,0,1,2,1,2,4,2,3,3,3,3,3,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,22,22000,0,1,0,1,2,1,2,4,2,3,2,3,1,3,4,2,1,0,0,0,0,0,0,0,0,1,32,0,0,0,1,0,2,0,2,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,4,0,1,1,0,5,0,0,0,1,0,0,0,0,0,0,5,0,0,7,0,0,4,0,0,0,2,4,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
12,2,33,10000,30000,1,2,2,2,1,2,3,2,3,3,2,3,3,4,3,1,1,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,6,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,1,45,10000,20000,0,2,2,2,1,3,2,1,3,1,1,3,3,4,4,1,0,0,0,2,1,14,0,0,0,129,0,0,1,0,0,1,0,8,2,0,0,0,0,1,0,12,0,0,0,0,2,0,0,0,0,0,1,0,0,23,0,0,2,0,0,0,4,0,0,3,0,0,18,0,0,0,0,2,5,0,0,0,0,0,0,0,0,7,0,0,0,0,24,0,0,0,0,33,0,3,0,1,0,0,0,3,0,0,5,1,0,41,0,0,14,0,0,0,3,2,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,5,0,1,0
16,2,21,10000,100000,2,0,1,2,1,2,4,1,3,1,3,3,3,3,3,1,0,0,0,2,4,0,0,1,7,82,0,0,0,2,1,10,0,28,0,0,0,0,0,4,10,6,0,1,0,0,3,0,0,0,1,0,1,2,1,21,30,0,2,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,6,0,0,0,0,2,0,0,0,13,41,0,0,0,11,0,0,1,1,13,0,1,0,3,0,0,0,6,0,0,2,1,0,21,0,0,6,0,0,1,9,6,0,1,0,4,0,4,0,0,1,1,0,0,0,1,0,2,0,1,13,0,0
18,2,22,70000,0,2,0,1,3,1,2,4,4,3,4,2,3,3,4,3,1,1,1,1,0,0,0,0,0,1,20,0,0,1,1,0,1,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
20,2,22,45000,0,2,0,1,3,1,2,4,3,3,2,3,3,3,3,4,1,0,0,1,2,0,0,0,0,3,288,0,0,2,1,1,4,0,26,1,0,1,0,2,4,13,14,0,0,0,0,3,0,0,0,0,0,0,1,4,41,20,0,1,0,0,1,0,0,0,2,1,1,29,0,0,0,2,1,6,0,1,0,0,0,0,0,0,22,18,0,0,0,19,0,2,2,1,54,0,3,0,1,0,0,0,0,0,0,15,0,0,86,0,0,27,0,0,0,40,8,0,0,0,4,0,3,0,0,1,2,0,0,0,43,0,2,0,2,11,0,0
22,2,21,15000,250000,2,0,1,3,1,1,4,3,4,3,2,2,4,3,4,1,1,1,1,0,0,0,0,0,0,103,1,0,1,10,0,2,0,4,1,0,0,0,3,1,14,6,0,3,0,0,0,0,0,0,0,0,2,0,0,11,32,0,1,0,0,1,0,0,0,0,0,1,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,11,4,0,0,0,21,0,0,2,0,20,0,0,0,1,0,0,0,1,0,0,1,0,0,43,0,0,9,0,0,0,13,5,0,0,0,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0
24,1,23,22000,0,2,0,1,2,1,2,4,2,3,1,2,3,2,4,4,1,0,0,0,0,0,0,0,1,0,53,0,0,1,0,0,1,0,47,1,0,1,0,0,8,1,4,0,0,0,0,3,0,0,0,0,0,0,2,1,51,26,0,0,0,0,0,1,0,0,0,0,0,15,0,0,0,0,1,7,0,0,0,0,1,0,0,0,6,5,0,0,0,10,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,6,0,0,17,0,0,16,0,1,0,1,3,0,0,0,0,0,3,0,0,1,1,0,0,0,1,0,0,0,0,3,0,0
26,1,25,80000,0,2,0,1,2,1,2,4,3,3,3,3,3,2,2,2,0,1,1,1,1,1,1,0,0,2,102,1,0,3,0,0,3,0,15,3,0,0,0,1,8,0,15,0,1,0,0,3,0,0,0,1,0,1,3,0,46,28,0,1,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,7,0,0,0,0,0,0,0,0,11,35,0,0,0,4,0,1,0,0,53,0,1,0,0,0,0,0,15,0,0,3,0,0,20,0,0,13,1,0,0,1,9,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,2,0,12,1,1,0
28,1,22,22000,0,1,0,1,2,1,3,4,2,1,4,2,3,2,3,2,1,0,0,1,1,0,0,0,0,5,55,0,0,1,0,0,8,0,20,1,0,0,0,1,4,2,3,0,1,1,0,0,0,0,0,0,0,1,3,0,25,29,0,0,0,0,0,7,0,0,0,0,0,25,0,0,0,1,0,7,0,0,0,0,0,0,0,0,6,15,0,0,0,8,0,1,3,1,8,0,0,0,1,0,0,0,4,0,0,4,0,0,7,0,0,22,1,0,0,4,2,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,1,4,0,0
30,2,24,40000,350000,0,0,1,2,1,2,4,2,3,2,3,3,3,2,3,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
32,2,23,25000,5000,0,0,1,2,1,2,4,2,3,1,2,2,3,2,2,1,0,0,0,1,2,0,0,0,0,77,0,0,0,6,0,2,0,28,1,0,1,0,1,3,0,12,0,0,0,0,2,0,0,0,1,0,0,0,2,36,21,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,1,10,0,0,0,0,0,0,0,0,3,6,0,0,0,17,0,1,0,0,17,0,2,0,0,0,0,0,2,0,0,4,1,0,5,0,0,4,0,1,0,4,4,0,0,0,0,0,7,0,0,1,0,0,0,0,0,1,1,0,1,2,0,0
34,2,22,20000,0,2,0,1,2,1,1,4,2,1,2,2,3,2,3,4,1,0,0,1,2,1,0,0,0,1,50,0,0,0,1,0,1,0,25,1,0,1,0,0,4,0,7,0,0,0,0,2,0,0,0,3,0,0,0,1,21,19,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,10,0,0,0,0,1,0,0,0,11,2,0,0,0,12,0,2,2,0,5,0,0,0,0,0,0,0,0,1,0,4,1,0,17,0,0,2,0,0,1,0,3,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0
36,2,22,0,0,2,0,1,1,1,1,4,1,1,4,1,2,1,2,2,1,0,0,0,3,4,0,0,0,8,161,0,0,4,10,1,18,0,28,1,0,2,0,6,6,335,8,0,0,0,0,7,0,0,0,2,0,8,4,3,63,35,0,2,0,0,0,1,0,0,1,0,5,70,0,0,0,0,2,13,0,0,0,0,3,0,0,0,9,73,0,0,0,26,0,1,2,0,37,0,3,0,11,0,0,0,1,0,0,14,1,1,16,0,0,22,2,0,0,63,8,0,0,0,1,0,4,1,0,1,1,0,0,1,5,3,4,0,4,7,1,0
38,1,52,67000,0,0,1,2,3,1,1,2,2,4,3,3,3,3,4,3,1,1,1,1,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,1,0,0,0,0,0,5,0,0,3,0,0,1,1,0,1,0,0,0,0,0,1,0,0,3,0,0,1,4,0,0,0,2,0,0,0
40,1,24,50000,0,1,0,1,3,1,2,4,3,3,4,3,4,3,4,4,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
42,1,44,40000,50000,0,3,2,1,1,1,2,1,3,1,1,2,2,2,3,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1,47,40000,20000,1,1,2,2,1,3,2,2,3,4,2,3,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1,49,30000,0,0,1,2,1,1,3,2,1,2,1,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0
48,2,60,120000,0,0,2,2,2,1,3,1,3,3,2,1,3,3,4,4,1,1,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
50,1,46,30000,360000,1,0,1,1,1,1,2,3,3,2,1,1,1,1,2,1,0,1,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,15,0,4,0,0,0,0,0,0,1,0,0,0,0,3,0,0,3,0,0,0,1,0,1,0,0,0,0,2,5,0,0,0,0,0,0,0,0,1,0,2,0,1,0
52,1,54,30000,0,2,2,2,3,1,2,2,3,4,4,3,3,3,4,3,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1,53,50000,0,0,2,2,1,1,3,2,1,2,3,1,2,1,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1,47,20000,0,2,2,2,1,1,1,2,2,1,2,1,3,1,2,4,1,1,0,0,2,0,0,0,0,0,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
58,2,29,11500,0,0,0,1,1,1,1,4,4,1,2,2,2,1,1,1,0,1,0,0,2,1,0,0,0,1,49,0,0,0,1,1,3,0,6,0,0,0,0,0,2,0,7,0,5,0,0,4,0,0,0,2,0,0,3,0,18,9,0,0,0,0,2,1,0,0,0,0,0,7,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,15,0,0,0,10,0,0,0,0,4,0,1,0,0,0,0,0,2,0,0,4,0,0,7,0,0,16,0,0,0,2,2,0,0,1,3,0,4,0,0,0,5,0,0,1,0,0,4,0,0,5,0,0
60,1,36,12000,0,0,2,2,2,1,3,3,3,1,2,2,3,2,4,3,1,0,0,0,1,1,1,0,0,4,318,0,0,1,0,0,6,0,25,3,0,1,0,2,9,0,39,0,4,0,0,1,1,0,0,1,0,2,1,0,40,41,0,4,0,0,1,1,0,0,2,0,0,51,0,0,0,0,1,10,0,0,0,0,0,0,0,0,21,4,0,0,0,19,0,0,0,2,104,0,31,0,0,0,0,0,14,0,0,7,1,0,85,0,0,42,2,0,0,6,17,0,0,0,3,0,9,4,0,0,17,0,0,3,1,1,2,0,10,3,0,0
62,1,47,80000,0,2,2,2,2,1,2,2,2,3,3,2,3,3,3,4,1,1,1,1,0,0,0,0,0,0,77,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,28,25,0,0,1,0,1,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,0,0,0,0,2,0,0,3,0,18,0,9,0,0,0,0,0,11,2,0,5,0,0,13,0,0,15,1,0,0,0,3,0,0,0,1,0,5,0,0,2,3,0,0,0,2,1,2,0,0,9,3,1
64,2,24,80000,2500000,0,2,2,2,1,2,4,2,3,2,3,3,3,3,3,1,0,0,0,1,0,0,0,0,3,121,0,0,1,0,1,1,0,5,2,0,1,0,1,10,1,15,0,6,0,0,2,0,0,0,0,0,2,0,1,42,29,0,1,1,0,1,3,0,0,1,0,0,27,0,0,0,0,3,3,0,1,0,0,0,0,0,0,12,1,0,0,0,10,0,1,1,1,32,0,8,0,0,0,0,0,3,1,0,4,0,0,33,0,0,12,1,0,0,12,1,0,1,0,3,0,4,0,0,4,10,1,0,0,9,0,0,0,2,14,0,0
